timestamp_utc,action,canonical_id,canonical_name,loser_id,old_name,website,industry,before_counts,after_counts,notes
2026-05-12T23:22:06.018654+00:00,rename_and_merge,838,MGM Springfield,1344,MGM Springfield and the technology,https://www.mgmspringfield.com/,Casinos & Gaming,"{'838': {'signals': 3, 'scores': 1, 'contacts': 0}, '1344': {'signals': 3, 'scores': 1, 'contacts': 0}}","{'838': {'signals': 6, 'scores': 2, 'contacts': 0}}",Merged malformed MGM Springfield rows into clean buyer/operator account.
2026-05-12T23:22:08.850450+00:00,merge_into_existing,7757,BayCare,7326,BayCare,https://baycare.org/,Healthcare,"{'7757': {'signals': 1, 'scores': 0, 'contacts': 0}, '7326': {'signals': 1, 'scores': 0, 'contacts': 0}}","{'7757': {'signals': 2, 'scores': 0, 'contacts': 0}}",Merged malformed BayCare partnership row; corrected industry from 'Logistics'.
